sample_id,campaign,timestamp,Pt_percent,Ru_percent,Ir_percent,overpotential_V,tafel_slope_mV_dec,exchange_current_A_cm2,charge_transfer_resistance_Ohm_cm2,surface_area_m2_g,temperature_C,pH,replicate_std,measurement_quality,operator,instrument_id
CAT-01-001,1,2025-01-01 00:00:00,55.0,34.2,10.8,0.2698,30.0,1.3833895721443609e-05,59.41,53.1,24.78,1.18,0.018,1,Charlie,POTENTIOSTAT-01
CAT-01-002,1,2025-01-01 02:00:00,78.0,36.9,-14.9,0.2451,114.4,7.1783006887072415e-06,130.13,71.3,25.73,0.89,0.017,1,Charlie,POTENTIOSTAT-01
CAT-01-003,1,2025-01-01 04:00:00,69.3,19.5,11.2,0.2404,94.8,1.0734125560327925e-05,104.45,117.6,25.79,0.85,0.0056,1,Charlie,POTENTIOSTAT-01
CAT-01-004,1,2025-01-01 06:00:00,63.9,13.3,22.8,,,,15.65,60.7,24.74,0.93,0.0135,0,Bob,POTENTIOSTAT-01
CAT-01-005,1,2025-01-01 08:00:00,46.2,16.8,36.9,0.2574,30.0,3.433398697750996e-05,27.19,92.5,24.79,1.0,0.0145,1,Bob,POTENTIOSTAT-01
CAT-01-006,1,2025-01-01 10:00:00,46.2,22.8,30.9,,,,148.3,66.0,24.86,1.02,0.015,0,Charlie,POTENTIOSTAT-01
CAT-01-007,1,2025-01-01 12:00:00,42.3,34.5,23.1,0.2911,56.5,1.850878105877463e-05,54.84,101.9,24.33,0.98,0.0195,1,Alice,POTENTIOSTAT-01
CAT-01-008,1,2025-01-01 14:00:00,74.6,35.8,-10.5,0.2536,96.7,4.660853953769921e-05,25.06,50.5,24.54,1.04,0.0183,1,Bob,POTENTIOSTAT-01
CAT-01-009,1,2025-01-01 16:00:00,64.0,10.2,25.7,0.2366,30.0,3.1056862414335095e-06,302.2,117.6,24.5,0.87,0.0202,1,Alice,POTENTIOSTAT-01
CAT-01-010,1,2025-01-01 18:00:00,68.3,25.3,6.4,0.214,41.2,4.4032302802399455e-05,21.32,76.3,24.62,1.14,0.0241,1,Alice,POTENTIOSTAT-01
CAT-01-011,1,2025-01-01 20:00:00,40.8,22.5,36.7,,,,144.12,58.9,24.98,0.99,0.0253,0,Bob,POTENTIOSTAT-01
CAT-01-012,1,2025-01-01 22:00:00,78.8,16.7,4.5,0.2171,60.6,4.477148828626795e-05,21.91,45.9,25.12,1.11,0.023,1,Bob,POTENTIOSTAT-01
CAT-01-013,1,2025-01-02 00:00:00,73.3,13.6,13.1,,,,85.04,53.6,25.78,1.03,0.0289,0,Alice,POTENTIOSTAT-01
CAT-01-014,1,2025-01-02 02:00:00,48.5,20.1,31.4,,,,443.86,81.6,24.5,1.05,0.0055,0,Alice,POTENTIOSTAT-01
CAT-01-015,1,2025-01-02 04:00:00,47.3,38.3,14.4,,,,343.4,67.0,25.49,1.06,0.0099,0,Charlie,POTENTIOSTAT-01
CAT-01-016,1,2025-01-02 06:00:00,47.3,19.7,33.0,0.2527,55.3,2.083131631328978e-05,41.79,106.3,24.89,1.04,0.0052,1,Charlie,POTENTIOSTAT-01
CAT-01-017,1,2025-01-02 08:00:00,52.2,25.6,22.3,,,,42.3,74.5,24.98,1.06,0.0212,1,Bob,POTENTIOSTAT-01
CAT-01-018,1,2025-01-02 10:00:00,61.0,31.1,7.9,0.2696,75.1,6.43558164906973e-06,150.35,59.9,25.34,1.13,0.0275,1,Charlie,POTENTIOSTAT-01
CAT-01-019,1,2025-01-02 12:00:00,57.3,20.9,21.8,,,,31.96,89.4,24.44,1.02,0.0111,0,Charlie,POTENTIOSTAT-01
CAT-01-020,1,2025-01-02 14:00:00,51.6,39.2,9.2,,,,415.65,96.5,25.19,1.07,0.0282,0,Charlie,POTENTIOSTAT-01
CAT-01-021,1,2025-01-02 16:00:00,64.5,38.9,-3.3,0.2321,30.0,2.008278088935614e-05,51.4,53.4,25.08,0.99,0.0065,1,Charlie,POTENTIOSTAT-01
CAT-01-022,1,2025-01-02 18:00:00,45.6,17.6,36.9,,,,221.19,53.4,25.25,1.14,0.0284,0,Alice,POTENTIOSTAT-01
CAT-01-023,1,2025-01-02 20:00:00,51.7,24.9,23.4,0.2827,69.8,8.104433412432345e-06,99.36,42.9,25.14,0.93,0.0138,1,Bob,POTENTIOSTAT-01
CAT-01-024,1,2025-01-02 22:00:00,54.7,19.0,26.3,,,,55.47,98.9,26.23,1.18,0.0075,0,Charlie,POTENTIOSTAT-01
CAT-01-025,1,2025-01-03 00:00:00,58.2,18.5,23.2,0.2626,106.2,6.991017630463974e-06,124.62,93.1,24.68,1.0,0.0171,1,Alice,POTENTIOSTAT-01
CAT-01-026,1,2025-01-03 02:00:00,71.4,11.1,17.5,,,,113.83,78.0,24.73,0.86,0.0114,0,Alice,POTENTIOSTAT-01
CAT-01-027,1,2025-01-03 04:00:00,48.0,28.3,23.7,0.2933,95.3,5.2070092128618714e-05,16.51,107.5,24.69,1.01,0.0121,1,Alice,POTENTIOSTAT-01
CAT-01-028,1,2025-01-03 06:00:00,60.6,25.1,14.4,,,,106.14,104.5,24.72,0.93,0.0127,0,Charlie,POTENTIOSTAT-01
CAT-01-029,1,2025-01-03 08:00:00,63.7,11.5,24.8,,,,16.24,86.8,24.68,1.08,0.0251,0,Charlie,POTENTIOSTAT-01
CAT-01-030,1,2025-01-03 10:00:00,41.9,18.4,39.8,,,,275.52,109.5,25.59,0.93,0.0185,0,Bob,POTENTIOSTAT-01
CAT-01-031,1,2025-01-03 12:00:00,64.3,37.2,-1.5,0.2531,52.1,3.620378152578473e-05,27.65,56.5,25.71,0.96,0.0128,1,Charlie,POTENTIOSTAT-01
CAT-01-032,1,2025-01-03 14:00:00,46.8,17.2,36.0,0.2895,89.0,8.746347998407188e-05,11.87,49.0,24.71,0.81,0.0203,1,Charlie,POTENTIOSTAT-01
CAT-01-033,1,2025-01-03 16:00:00,42.6,14.3,43.1,0.2626,79.0,1.0939661308937733e-06,755.81,61.6,24.58,0.95,0.0229,1,Alice,POTENTIOSTAT-01
CAT-01-034,1,2025-01-03 18:00:00,78.0,24.7,-2.6,,,,116.92,44.6,25.24,0.76,0.0118,1,Bob,POTENTIOSTAT-01
CAT-01-035,1,2025-01-03 20:00:00,78.6,39.6,-18.2,0.2213,30.3,4.424263036033491e-05,19.98,82.5,24.72,0.84,0.0153,1,Charlie,POTENTIOSTAT-01
CAT-01-036,1,2025-01-03 22:00:00,72.3,17.3,10.4,,,,65.23,114.9,25.32,1.08,0.008,0,Charlie,POTENTIOSTAT-01
CAT-01-037,1,2025-01-04 00:00:00,52.2,30.2,17.7,0.3219,92.0,2.1965972182334148e-05,40.16,43.1,25.1,1.08,0.0095,1,Alice,POTENTIOSTAT-01
